0.040351,1.01993001,1.03892146,1.10551155,1.08852396,1.02101343,1.03890243, 1.105355  ,1.08672663
0.151008,1.0211119 ,1.03835168,1.10611857,1.08574222,1.02077516,1.03860404, 1.10547329,1.08668194
0.20979,1.02112851,1.03882458,1.10683073,1.08623254,1.02182536,1.03958683, 1.10632285,1.08571169
0.278594,1.02137776,1.03916039,1.1049036 ,1.08527329,1.02189923,1.03860628, 1.10506128,1.08589246
0.328373,1.02221564,1.03938495,1.10468768,1.08520184,1.02186392,1.03807245, 1.10499828,1.08580832
0.366643,1.0182887 ,1.03788593,1.10434576,1.08878989,1.02117461,1.03835309, 1.10511246,1.08667188
0.411952,1.02205585,1.03851014,1.10491241,1.08683759,1.02215888,1.03911224, 1.10475911,1.08643434
0.454136,1.02002042,1.03731826,1.1112651 ,1.08420164,1.0216342 ,1.03924615, 1.10552833,1.08664569
0.532789,1.02101859,1.03924862,1.10644624,1.08656982,1.02209568,1.03923968, 1.10592948,1.085858  
0.571409,1.01890959,1.03864975,1.10441014,1.08564794,1.02094168,1.03840715, 1.10599261,1.08611589
0.608379,1.02313902,1.03596034,1.10255301,1.08477438,1.0214433 ,1.03833747, 1.10513955,1.08702962
0.73285,1.02312121,1.03943997,1.10519933,1.08512809,1.02242856,1.03867778, 1.10471706,1.08610113
0.754915,1.02143475,1.03812617,1.10684418,1.08605733,1.02276323,1.03873931, 1.10498713,1.08614273
0.785903,1.02218293,1.0361613 ,1.10282376,1.08511764,1.02234966,1.03854357, 1.10485778,1.08588893
0.862654,1.02170086,1.03786956,1.10586605,1.08576296,1.02116277,1.0379385 , 1.1050303 ,1.08627792
0.906989,1.02087571,1.03907058,1.10562104,1.08743862,1.02097599,1.03796705, 1.10506896,1.08604087
0.970465,1.0211649 ,1.0389178 ,1.10584122,1.08541179,1.02076826,1.03846334, 1.10528397,1.08546568
0.99675,1.02169155,1.03941561,1.10502616,1.08554297,1.0209668 ,1.03865555, 1.10523736,1.08546844
1.027095,1.02103732,1.03830607,1.10522723,1.08362664,1.02082528,1.03858698, 1.10511749,1.08529712
1.135661,1.02017733,1.03873319,1.10556854,1.08594438,1.02151582,1.03890739, 1.10510457,1.085543  
1.172099,1.01866665,1.03649496,1.10358812,1.08485061,1.02137877,1.03904707, 1.10553067,1.08600991
1.239739,1.01818117,1.03785791,1.10495199,1.08408303,1.02186541,1.03870706, 1.10504519,1.0854637 
1.28668,1.01984191,1.03796127,1.10597537,1.08616553,1.02158116,1.03849129, 1.10519016,1.08552346
1.34775,1.02041737,1.03835711,1.10511887,1.08647642,1.02132088,1.03801778, 1.10514088,1.08584788
